3546,Smartphone,799.99,5G-enabled phone with 128GB storage,101
6578,Wireless Headphones,199.99,Noise-cancelling headphones with up to 30-hour battery life,101
1245,LED TV,1199.99,65-inch 4K Ultra HD Smart TV with HDR,101
8456,Smartwatch,299.99,Fitness tracker with heart rate monitor and GPS,101
9876,Laptop,1299.99,13-inch MacBook Pro with 8GB RAM and 512GB SSD,101
2567,Running Shoes,99.99,Men's lightweight running shoes with breathable mesh upper,105
3698,Yoga Mat,49.99,Non-slip yoga mat with carrying strap,105
4875,Gym Bag,59.99,Large capacity sports bag with multiple compartments,105
5467,Soccer Ball,29.99,Size 5 soccer ball with textured surface for improved grip,105
6325,Baseball Glove,79.99,12-inch leather baseball glove for adults,105
7895,Cookware Set,299.99,10-piece non-stick cookware set with tempered glass lids,103
8541,Robot Vacuum,399.99,Smart robot vacuum cleaner with Wi-Fi connectivity and voice control,103
9652,Bedding Set,149.99,Queen-size comforter set with 2 pillow shams and bedskirt,103
1478,Indoor Plant,39.99,Large artificial plant with pot for home decor,103
2589,Candle Set,29.99,Set of 3 scented candles in decorative jars,103
3645,Makeup Brush Set,24.99,10-piece set of high-quality makeup brushes,104
4862,Hair Dryer,89.99,Professional-grade hair dryer with ceramic and ionic technology,104
5698,Skincare Kit,69.99,5-piece skincare set with cleanser & toner & serum & moisturizer and eye cream,104
6521,Perfume,49.99,Women's fragrance with notes of jasmine and vanilla,104
7896,T-Shirt,19.99,Men's crew-neck t-shirt with printed graphic,102
8542,Jeans,59.99,Women's high-waisted skinny jeans with stretch denim,102
9653,Hoodie,39.99,Unisex hoodie with fleece lining and drawstring hood,102
1479,Dress,79.99,Floral print wrap dress with v-neckline and ruffled hem,102
2588,Sweater,49.99,Men's cable-knit sweater with ribbed cuffs and hem,102
3646,Jacket,99.99,Women's faux leather moto jacket with asymmetrical zipper,102
